date, pm25, no2, so2, co
2020/7/20, 67, 30, 18, 42
2020/7/21, 75, 30, 18, 30
2020/7/22, 74, 33, 15, 28
2020/7/23, 65, 33, 16, 40
2020/7/24, 72, 20, 15, 32
2020/7/25, 77, 20, 16, 23
2020/7/26, 68, 37, 14, 34
2020/7/27, 80, 59, 23, 36
2020/7/28, 72, 48, 23, 24
2020/7/29, 67, 66, 21, 31
2020/7/30, 78, 39, 14, 25
2020/7/31, 84, 26, 16, 21
2020/8/1, 75, 26, 17, 16
2020/8/2, 52, 55, 18, 29
2020/8/3, 78, 52, 18, 21
2020/8/4, 81, 32, 16, 16
2020/8/5, 71, 32, 17, 17
2020/8/6, 70, 33, 18, 20
2020/8/7, 78, 22, 17, 14
2020/8/8, 66, 25, 17, 14
2020/8/9, 64, 39, 19, 19
2020/8/10, 68, 54, 17, 23
2020/8/11, 70, 53, 20, 21
2020/8/12, 83, 59, 19, 27
2020/8/13, 86, 59, 20, 21
2020/8/14, 99, 46, 17, 19
2020/8/15, 87, 52, 19, 19
2020/8/16, 99, 30, 17, 22
2020/8/17, 84, 42, 18, 21
2020/8/18, 90, 34, 21, 17
2020/8/19, 73, 45, 20, 24
2020/8/20, 74, 52, 21, 27
2020/8/21, 83, 40, 19, 19
2020/8/22, 84, 55, 21, 23
2020/8/23, 83, 37, 17, 18
2020/8/24, 74, 28, 18, 19
2020/8/25, 86, 32, 18, 16
2020/8/26, 78, 33, 26, 19
2020/8/27, 71, 30, 27, 22
2020/8/28, 65, 36, 26, 22
2020/8/29, 71, 35, 30, 24
2020/8/30, 69, 30, 29, 21
2020/8/31, 80, 30, 34, 23
2020/9/1, 77, 31, 43, 17
2020/9/2, 67, 44, 27, 23
2020/9/3, 85, 49, 21, 24
2020/9/4, 84, 43, 17, 22
2020/9/5, 63, 46, 20, 26
2020/9/6, 61, 54, 20, 28
2020/9/7, 84, 56, 18, 21
2020/9/8, 85, 39, 18, 31
2020/9/9, 86, 60, 22, 35
2020/9/10, 93, 60, 18, 32
2020/9/11, 113, 34, 29, 28
2020/9/12, 93, 36, 18, 24
2020/9/13, 74, 41, 20, 45
2020/9/14, 76, 39, 19, 
2020/9/15, 79, 41, 21, 15
2020/9/16, 84, 27, 23, 36
2020/9/17, 85, 27, 23, 39
2020/9/18, 86, 24, 21, 33
2020/9/19, 75, 29, 26, 42
2020/9/20, 86, 41, 18, 30
2020/9/21, 84, 41, 20, 31
2020/9/22, 84, 42, 20, 31
2020/9/23, 87, 38, 20, 36
2020/9/24, 81, 37, 18, 45
2020/9/25, 79, 38, 18, 37
2020/9/26, 85, 43, 20, 41
2020/9/27, 108, 44, 19, 31
2020/9/28, 166, 33, 14, 35
2020/9/29, 98, 30, 19, 29
2020/9/30, 94, 28, 18, 44
2020/10/1, 92, 36, 21, 45
2020/4/2, 49, 24, 16, 22
2020/4/3, 57, 28, 15, 32
2020/4/4, 81, 29, 12, 23
2020/4/5, 59, 24, 12, 16
2020/4/6, 43, 32, 17, 24
2020/4/7, 62, 32, 16, 24
2020/4/8, 92, 31, 14, 22
2020/4/9, 61, 24, 12, 15
2020/4/10, 37, 29, 15, 31
2020/4/11, 60, 32, 17, 29
2020/4/12, 82, 33, 14, 26
2020/4/13, 60, 30, 14, 26
2020/4/14, 54, 32, 17, 23
2020/4/15, 74, 31, 18, 23
2020/4/16, 82, 35, 17, 31
2020/4/17, 87, 30, 16, 24
2020/4/18, 67, 34, 16, 31
2020/4/19, 52, 34, 17, 23
2020/4/20, 62, 38, 17, 28
2020/4/21, 76, 35, 17, 28
2020/4/22, 71, 33, 15, 28
2020/4/23, 66, 32, 16, 25
2020/4/24, 82, 27, 16, 20
2020/4/25, 64, 35, 19, 41
2020/4/26, 97, 28, 15, 90
2020/4/27, 78, 28, 12, 26
2020/4/28, 59, 29, 12, 22
2020/4/29, 46, 30, 16, 25
2020/4/30, 57, 24, 16, 22
2020/5/1, 53, 28, 16, 21
2020/5/2, 50, 31, 15, 23
2020/5/3, 62, 27, 15, 13
2020/5/4, 55, 29, 17, 24
2020/5/5, 58, 24, 15, 24
2020/5/6, 79, 22, 16, 24
2020/5/7, 116, 16, 11, 15
2020/5/8, 65, 17, 14, 20
2020/5/9, 47, 25, 18, 21
2020/5/10, 63, 21, 17, 19
2020/5/11, 64, 20, 16, 19
2020/5/12, 113, 19, 16, 23
2020/5/13, 54, 23, 16, 20
2020/5/14, 48, 24, 19, 28
2020/5/15, 63, 19, 19, 26
2020/5/16, 56, 25, 19, 23
2020/5/17, 67, 26, 20, 33
2020/5/18, 80, 23, 22, 30
2020/5/19, 82, 25, 23, 33
2020/5/20, 95, 22, 14, 30
2020/5/21, 52, 27, 20, 28
2020/5/22, 103, 31, 20, 26
2020/5/23, 115, 26, 13, 24
2020/5/24, 75, 22, 15, 26
2020/5/25, 79, 18, 13, 26
2020/5/26, 69, 23, 17, 24
2020/5/27, 86, 25, 17, 19
2020/5/28, 85, 24, 18, 17
2020/5/29, 66, 25, 16, 24
2020/5/30, 64, 28, 20, 25
2020/5/31, 75, 27, 16, 27
2020/6/1, 77, 27, 15, 26
2020/6/2, 68, 28, 15, 28
2020/6/3, 52, 24, 14, 21
2020/6/4, 50, 21, 12, 20
2020/6/5, 66, 22, 18, 34
2020/6/6, 67, 26, 17, 37
2020/6/7, 69, 25, 14, 23
2020/6/8, 69, , 21, 22
2020/6/9, 84, , 18, 29
2020/6/10, 77, , 15, 25
2020/6/11, 63, , 18, 20
2020/6/12, 64, , 16, 20
2020/6/13, 65, , 19, 26
2020/6/14, 80, , 15, 25
2020/6/15, 86, , 15, 23
2020/6/16, 77, , 16, 25
2020/6/17, 88, , 14, 21
2020/6/18, 77, , 16, 22
2020/6/19, 83, , 19, 27
2020/6/20, 77, , 16, 36
2020/6/21, 81, , 13, 19
2020/6/22, 72, , 15, 29
2020/6/23, 76, , 19, 27
2020/6/24, 77, , 25, 41
2020/6/25, 105, , 16, 35
2020/6/26, 83, , 19, 26
2020/6/27, 112, , 15, 26
2020/6/28, 91, , 17, 21
2020/6/29, 88, , 14, 29
2020/6/30, 94, , 17, 27
2020/7/1, 92, , 21, 26
2020/1/2, 100, 55, 24, 41
2020/1/3, 88, 51, 44, 42
2020/1/4, 86, 50, 42, 30
2020/1/5, 99, 47, 21, 26
2020/1/6, 72, 52, 23, 31
2020/1/7, 54, 62, 56, 29
2020/1/8, 60, 64, 62, 36
2020/1/9, 73, 49, 36, 27
2020/1/10, 118, 41, 35, 26
2020/1/11, 76, 44, 28, 48
2020/1/12, 112, 43, 35, 42
2020/1/13, 72, 45, 49, 40
2020/1/14, 77, 47, 45, 29
2020/1/15, 112, 50, 50, 30
2020/1/16, 127, 55, 56, 31
2020/1/17, 118, 51, 43, 31
2020/1/18, 144, 48, 30, 36
2020/1/19, 103, 46, 29, 38
2020/1/20, 116, 51, 28, 32
2020/1/21, 112, 51, 36, 41
2020/1/22, 142, 44, 36, 32
2020/1/23, 140, 41, 26, 30
2020/1/24, 87, 47, 24, 30
2020/1/25, 73, 54, 49, 33
2020/1/26, 106, 55, 42, 34
2020/1/27, 104, 63, 29, 36
2020/1/28, 134, 61, 60, 32
2020/1/29, 136, 60, 97, 30
2020/1/30, 151, 64, 80, 28
2020/1/31, 153, 56, 47, 30
2020/2/1, 106, 61, 37, 31
2020/2/2, 83, 44, 33, 18
2020/2/3, 49, 49, 42, 27
2020/2/4, 66, 73, 45, 37
2020/2/5, 109, 61, 33, 31
2020/2/6, 69, 52, 36, 30
2020/2/7, 67, 62, 38, 50
2020/2/8, 84, 64, 27, 56
2020/2/9, 85, 48, 27, 36
2020/2/10, 69, 37, 19, 25
2020/2/11, 71, 35, 24, 37
2020/2/12, 46, 33, 22, 36
2020/2/13, 63, 39, 29, 34
2020/2/14, 78, 32, 23, 28
2020/2/15, 62, 34, 17, 29
2020/2/16, 63, 38, 24, 40
2020/2/17, 77, 40, 24, 32
2020/2/18, 83, 49, 31, 37
2020/2/19, 149, 42, 21, 26
2020/2/20, 118, 36, 19, 30
2020/2/21, 80, 40, 19, 37
2020/2/22, 111, 44, 17, 31
2020/2/23, 102, 39, 17, 42
2020/2/24, 102, 44, 18, 38
2020/2/25, 95, 37, 15, 41
2020/2/26, 54, 35, 18, 20
2020/2/27, 49, 42, 19, 24
2020/2/28, 103, 44, 21, 31
2020/2/29, 146, 45, 23, 32
2020/3/1, 159, 44, 20, 30
2020/3/2, 131, 29, 14, 25
2020/3/3, 48, 31, 19, 27
2020/3/4, 46, 39, 19, 33
2020/3/5, 74, 40, 24, 30
2020/3/6, 112, 40, 19, 39
2020/3/7, 120, 40, 15, 29
2020/3/8, 90, 30, 21, 20
2020/3/9, 61, 33, 18, 24
2020/3/10, 51, 39, 18, 28
2020/3/11, 57, 45, 26, 28
2020/3/12, 76, 49, 21, 33
2020/3/13, 108, 37, 19, 30
2020/3/14, 67, 33, 16, 19
2020/3/15, 45, 33, 19, 21
2020/3/16, 68, 33, 21, 27
2020/3/17, 76, 27, 17, 25
2020/3/18, 62, 29, 20, 26
2020/3/19, 78, 25, 16, 20
2020/3/20, 60, 27, 13, 14
2020/3/21, 48, 24, 11, 19
2020/3/22, 50, 21, 15, 16
2020/3/23, 52, 24, 16, 16
2020/3/24, 34, 28, 17, 40
2020/3/25, 64, 27, 19, 17
2020/3/26, 87, 23, 16, 18
2020/3/27, 53, 24, 16, 20
2020/3/28, 51, 28, 16, 22
2020/3/29, 66, 26, 15, 19
2020/3/30, 52, 25, 15, 26
2020/3/31, 54, 18, 11, 31
2020/4/1, 17, 23, 14, 24
2019/10/2, 92, 100, 40, 61
2019/10/3, 107, 82, 43, 26
2019/10/4, 88, 95, 39, 55
2019/10/5, 104, 83, 25, 27
2019/10/6, 88, 71, 26, 34
2019/10/7, 79, 86, 32, 57
2019/10/8, 89, 81, 36, 26
2019/10/9, 88, 83, 39, 51
2019/10/10, 89, 106, 25, 47
2019/10/11, 86, 81, 38, 59
2019/10/12, 86, 52, 28, 49
2019/10/13, 91, 57, 29, 53
2019/10/14, 98, 40, 36, 24
2019/10/15, 82, 48, 32, 29
2019/10/16, 79, 55, 29, 50
2019/10/17, 88, 60, 32, 36
2019/10/18, 88, 63, 34, 39
2019/10/19, 90, 52, 23, 37
2019/10/20, 79, 64, 32, 46
2019/10/21, 95, 61, 32, 28
2019/10/22, 89, 47, 26, 31
2019/10/23, 77, 40, 22, 36
2019/10/24, 86, 49, 26, 34
2019/10/25, 134, 43, 18, 27
2019/10/26, 118, 39, 15, 32
2019/10/27, 138, 45, 26, 33
2019/10/28, 112, 40, 25, 26
2019/10/29, 96, 39, 21, 29
2019/10/30, 74, 67, 27, 49
2019/10/31, 99, 68, 25, 30
2019/11/1, 83, 48, 26, 27
2019/11/2, 85, 45, 27, 42
2019/11/3, 87, 65, 32, 46
2019/11/4, 67, 58, 27, 40
2019/11/5, 59, 49, 33, 32
2019/11/6, 65, 53, 40, 36
2019/11/7, 94, 53, 37, 35
2019/11/8, 98, 54, 33, 31
2019/11/9, 102, 61, 50, 40
2019/11/10, 90, 64, 45, 34
2019/11/11, 79, 66, 32, 40
2019/11/12, 89, 90, 35, 56
2019/11/13, 109, 92, 33, 56
2019/11/14, 101, 87, 53, 47
2019/11/15, 120, 71, 39, 30
2019/11/16, 107, 39, 18, 26
2019/11/17, 55, 47, 20, 36
2019/11/18, 68, , , 
2019/11/21, 78, 79, 24, 35
2019/11/22, 92, 65, 25, 35
2019/11/23, 106, 47, 33, 38
2019/11/24, 129, 48, 33, 51
2019/11/25, 122, 44, 30, 32
2019/11/26, 104, 45, 31, 30
2019/11/27, 103, 54, 49, 40
2019/11/28, 132, 60, 58, 34
2019/11/29, 155, 49, 55, 37
2019/11/30, 154, 59, 45, 38
2019/12/1, 149, 73, 49, 39
2019/12/2, 87, 74, 56, 42
2019/12/3, 141, 65, 42, 35
2019/12/4, 137, 59, 28, 35
2019/12/5, 73, 62, 31, 40
2019/12/6, 95, 63, 34, 33
2019/12/7, 120, 51, 31, 35
2019/12/8, 80, 49, 26, 38
2019/12/9, 66, 49, 28, 41
2019/12/10, 57, 56, 24, 41
2019/12/11, 66, 56, 36, 48
2019/12/12, 86, 53, 40, 34
2019/12/13, 76, 51, 30, 26
2019/12/14, 114, 60, 35, 35
2019/12/15, 141, 73, 35, 40
2019/12/16, 155, 73, 32, 52
2019/12/17, 163, 65, 26, 78
2019/12/18, 159, 54, 21, 52
2019/12/19, 83, 67, 27, 35
2019/12/20, 84, 87, 31, 44
2019/12/21, 108, 91, 37, 45
2019/12/22, 128, 82, 67, 46
2019/12/23, 154, 86, 66, 52
2019/12/24, 157, 87, 47, 46
2019/12/25, 154, 93, 70, 56
2019/12/26, 159, 88, 63, 41
2019/12/27, 156, 89, 43, 66
2019/12/28, 143, 79, 48, 36
2019/12/29, 129, 60, 21, 32
2019/12/30, 48, , , 
2019/7/2, 112, 89, 16, 25
2019/7/3, 100, 82, 24, 28
2019/7/4, 97, , , 
2019/7/7, 100, 102, 22, 28
2019/7/8, 92, 102, 20, 32
2019/7/9, 100, 105, 23, 47
2019/7/10, 104, 95, 16, 31
2019/7/11, 100, 81, 16, 24
2019/7/12, 93, 65, 16, 29
2019/7/13, 83, 100, 21, 56
2019/7/14, 90, 107, 20, 44
2019/7/15, 93, 96, , 46
2019/7/16, 99, 81, 19, 38
2019/7/17, 85, 69, 25, 18
2019/7/18, 68, 62, , 22
2019/7/19, 67, 74, 35, 59
2019/7/20, 69, 90, 37, 45
2019/7/21, 75, 90, 22, 43
2019/7/22, 87, 71, 18, 29
2019/7/23, 74, 62, , 31
2019/7/24, 66, 78, 30, 33
2019/7/25, 70, 87, 23, 51
2019/7/26, 79, 94, 35, 39
2019/7/27, 87, 82, 39, 44
2019/7/28, 82, 67, 32, 115
2019/7/29, 66, 67, 20, 38
2019/7/30, 87, 91, 22, 43
2019/7/31, 82, 94, 19, 39
2019/8/1, 77, 101, , 37
2019/8/2, 78, 102, 26, 56
2019/8/3, 76, 77, 23, 27
2019/8/4, 65, 91, 32, 45
2019/8/5, 94, 100, 30, 43
2019/8/6, 92, 105, 41, 41
2019/8/7, 104, 94, 24, 44
2019/8/8, 98, 80, 20, 41
2019/8/9, 92, 58, 16, 38
2019/8/10, 81, 59, 18, 105
2019/8/11, 74, 74, 30, 44
2019/8/12, 91, 81, 19, 37
2019/8/13, 91, 69, 14, 47
2019/8/14, 70, 65, 21, 42
2019/8/15, 68, 77, 17, 29
2019/8/16, 70, 92, 19, 46
2019/8/17, 80, 85, 14, 40
2019/8/18, 63, 92, 20, 51
2019/8/19, 62, 97, 21, 53
2019/8/20, 67, , , 
2019/8/29, 87, 86, 17, 30
2019/8/30, 96, 81, 16, 25
2019/8/31, 84, 67, 16, 27
2019/9/1, 71, 67, 17, 25
2019/9/2, 65, 66, 23, 44
2019/9/3, 72, 95, 23, 49
2019/9/4, 94, 78, 14, 38
2019/9/5, 80, 65, 23, 40
2019/9/6, 70, 75, 22, 71
2019/9/7, 76, 85, 17, 47
2019/9/8, 74, 89, 21, 70
2019/9/9, 85, 65, 13, 43
2019/9/10, 90, 50, 16, 27
2019/9/11, 59, 47, 18, 30
2019/9/12, 53, 64, 21, 46
2019/9/13, 104, 61, 21, 42
2019/9/14, 119, 70, 18, 39
2019/9/15, 61, 71, 24, 38
2019/9/16, 67, 74, 22, 45
2019/9/17, 72, 78, 20, 39
2019/9/18, 70, 87, 25, 43
2019/9/19, 87, 94, 26, 54
2019/9/20, 95, 92, 21, 42
