date, pm25, no2, so2, co
2019/5/25, , , , 
2019/5/26, , , , 
2019/5/27, , , , 
2019/5/28, , , , 
2019/5/29, , , , 
2019/5/30, , , , 
2019/5/31, , , , 
2019/6/1, , , , 
2019/6/2, , , , 
2019/6/3, , , , 
2019/6/4, , , , 
2019/6/5, , , , 
2019/6/6, , , , 
2019/6/8, , , , 
2019/6/9, , , , 
2019/6/10, , , , 
2019/6/11, , , , 
2019/6/12, , , , 
2019/6/13, , , , 
2019/6/14, , , , 
2019/6/15, , , , 
2019/6/16, , , , 
2019/6/17, , , , 
2019/6/18, , , , 
2019/6/19, , , , 
2019/6/20, , , , 
2019/6/21, , , , 
2019/6/22, , , , 
2019/6/23, , , , 
2019/6/24, , , , 
2019/6/25, , , , 
2019/6/26, , , , 
2019/6/27, , 10, 2, 3
2019/6/28, 9, 67, 18, 40
2019/6/29, 70, 86, 21, 38
2019/6/30, 78, 98, 23, 51
2019/7/1, 92, 111, 25, 53
2019/1/2, , , , 
2019/1/3, , , , 
2019/1/4, , , , 
2019/1/5, , , , 
2019/1/6, , , , 
2019/1/7, , , , 
2019/1/8, , , , 
2019/1/9, , , , 
2019/1/10, , , , 
2019/1/11, , , , 
2019/1/12, , , , 
2019/1/13, , , , 
2019/1/14, , , , 
2019/1/15, , , , 
2019/1/16, , , , 
2019/1/17, , , , 
2019/1/18, , , , 
2019/1/19, , , , 
2019/1/20, , , , 
2019/1/21, , , , 
2019/1/22, , , , 
2019/1/23, , , , 
2019/1/24, , , , 
2019/1/25, , , , 
2019/1/26, , , , 
2019/1/27, , , , 
2019/1/28, , , , 
2019/1/29, , , , 
2019/1/30, , , , 
2019/1/31, , , , 
2019/2/1, , , , 
2019/2/2, , , , 
2019/2/3, , , , 
2019/2/4, , , , 
2019/2/5, , , , 
2019/2/6, , , , 
2019/2/7, , , , 
2019/2/8, , , , 
2019/2/9, , , , 
2019/2/10, , , , 
2019/2/11, , , , 
2019/2/12, , , , 
2019/2/13, , , , 
2019/2/14, , , , 
2019/2/15, , , , 
2019/2/16, , , , 
2019/2/17, , , , 
2019/2/18, , , , 
2019/2/19, , , , 
2019/2/20, , , , 
2019/2/21, , , , 
2019/2/22, , , , 
2019/2/23, , , , 
2019/2/24, , , , 
2019/2/25, , , , 
2019/2/26, , , , 
2019/2/27, , , , 
2019/2/28, , , , 
2019/3/1, , , , 
2019/3/2, , , , 
2019/3/3, , , , 
2019/3/4, , , , 
2019/3/5, , , , 
2019/3/6, , , , 
2019/3/7, , , , 
2019/3/8, , , , 
2019/3/9, , , , 
2019/3/10, , , , 
2019/3/11, , , , 
2019/3/12, , , , 
2019/3/13, , , , 
2019/3/14, , , , 
2019/3/15, , , , 
2019/3/16, , , , 
2019/3/17, , , , 
2019/3/18, , , , 
2019/3/19, , , , 
2019/3/20, , , , 
2019/3/21, , , , 
2019/3/22, , , , 
2019/3/23, , , , 
2019/3/24, , , , 
2019/3/25, , , , 
2019/3/26, , , , 
2019/3/27, , , , 
2019/3/28, , , , 
2019/3/29, , , , 
2019/3/30, , , , 
2019/3/31, , , , 
2019/4/1, , , , 
2018/10/3, 81, , 25, 52
2018/10/4, 85, , 23, 33
2018/10/5, 82, , , 
2018/10/7, 75, , 23, 24
2018/10/8, 46, , 21, 22
2018/10/9, 61, , 32, 24
2018/10/10, 55, , 26, 31
2018/10/11, 87, , 27, 32
2018/10/12, 83, , 23, 25
2018/10/13, 73, , 21, 21
2018/10/14, 71, , 24, 24
2018/10/15, 96, , 19, 28
2018/10/16, 89, , 22, 23
2018/10/17, 74, , 19, 14
2018/10/18, 62, , , 
2018/10/19, 68, , , 
2018/10/22, 86, , 25, 33
2018/10/23, 85, , 24, 34
2018/10/24, 93, , 21, 35
2018/10/25, 73, , 24, 28
2018/10/26, 70, , 28, 53
2018/10/27, 93, , 25, 20
2018/10/28, 60, , 32, 20
2018/10/29, 55, , 23, 23
2018/10/30, 75, , 21, 25
2018/10/31, 96, , 21, 25
2018/11/1, 88, , 22, 32
2018/11/2, 64, , 23, 25
2018/11/3, 58, , 27, 21
2018/11/4, 50, , 24, 21
2018/11/5, 43, , 23, 28
2018/11/6, 53, , , 
2018/11/7, 53, , 24, 28
2018/11/8, 60, , 23, 23
2018/11/9, 64, , 23, 24
2018/11/10, 75, , 23, 34
2018/11/11, 85, , 24, 35
2018/11/12, 88, , 22, 33
2018/11/13, 62, , 21, 25
2018/11/14, 44, , 33, 25
2018/11/15, 53, , , 
2018/11/19, 68, , 27, 43
2018/11/20, 83, , 25, 35
2018/11/21, 98, , 26, 32
2018/11/22, 104, , 34, 37
2018/11/23, 74, , 23, 28
2018/11/24, 46, , 22, 25
2018/11/25, 40, , 22, 25
2018/11/26, 45, , 22, 21
2018/11/27, 48, , 21, 24
2018/11/28, 46, , 27, 41
2018/11/29, 70, , 28, 43
2018/11/30, 98, , 27, 29
2018/12/1, 120, , 28, 26
2018/12/2, 88, , 29, 29
2018/12/3, 70, , 30, 34
2018/12/4, 75, , 31, 39
2018/12/5, 116, , 33, 32
2018/12/6, 125, , 28, 29
2018/12/7, 125, , 18, 22
2018/12/8, 77, , 18, 20
2018/12/9, 29, , 22, 28
2018/12/10, 37, , 15, 27
2018/12/11, 40, , 25, 31
2018/12/12, 60, , 27, 43
2018/12/13, 81, , 29, 39
2018/12/14, 64, , 32, 57
2018/12/15, 82, , 25, 34
2018/12/16, 67, , 27, 31
2018/12/17, 80, , 37, 35
2018/12/18, 99, , 36, 28
2018/12/19, 85, , 24, 40
2018/12/20, 52, , 27, 32
2018/12/21, 97, , 23, 22
2018/12/22, 59, , 23, 30
2018/12/23, 60, , 24, 26
2018/12/24, 68, , 26, 24
2018/12/25, 72, , 29, 21
2018/12/26, 75, , 28, 43
2018/12/27, 78, , 34, 44
2018/12/28, 111, , 29, 25
2018/12/29, 78, , 24, 22
2018/12/30, 34, , 22, 24
2018/12/31, 31, , , 
2018/8/22, 93, , 36, 53
2018/8/23, 84, , 29, 42
2018/8/24, 69, , , 
2018/8/27, 84, , 28, 46
2018/8/28, 68, , 27, 47
2018/8/29, 68, , 27, 69
2018/8/30, 91, , 25, 64
2018/8/31, 92, , 28, 62
2018/9/1, 89, , 25, 51
2018/9/2, 75, , 22, 40
2018/9/3, 80, , 23, 32
2018/9/4, 79, , 24, 41
2018/9/5, 71, , 26, 46
2018/9/6, 76, , 28, 59
2018/9/7, 86, , 30, 65
2018/9/8, 85, , 28, 62
2018/9/9, 87, , 24, 58
2018/9/10, 78, , 25, 60
2018/9/11, 95, , 26, 64
2018/9/12, 92, , 26, 66
2018/9/13, 82, , 24, 50
2018/9/14, 85, , 23, 39
2018/9/15, 99, , 23, 39
2018/9/16, 90, , 26, 45
2018/9/17, 95, , 27, 53
2018/9/18, 97, , 22, 46
2018/9/19, 78, , 23, 35
2018/9/20, 103, , 23, 26
2018/9/21, 87, , 23, 20
2018/9/22, 66, , 23, 23
2018/9/23, 46, , 27, 36
2018/9/24, 57, , 29, 46
2018/9/25, 82, , 24, 27
2018/9/26, 66, , 23, 24
2018/9/27, 59, , , 
2018/10/1, 72, , , 
2021/6/5, , 19, 33, 29
2020/10/21, , 50, 22, 47
2020/1/1, , 56, 41, 32
2019/11/20, , 46, 24, 31
2019/7/6, , 97, 27, 48
2019/8/28, , 73, 13, 34
2019/5/13, , , , 
2019/6/7, , , , 
2019/1/1, , , , 
2018/10/2, , , 33, 51
2018/10/21, , , 39, 33
2018/11/18, , , 28, 43
2018/8/21, , , 20, 44
2018/8/26, , , 36, 57
2018/9/30, , , 28, 50
2018/10/6, , , , 25
