,tavg,wspd,pres
12/11/2020,3.7,10.4,1021.6
12/12/2020,3.3,7.4,1021.3
12/13/2020,3.8,5.7,1023.7
12/14/2020,4.2,5.2,1023.5
12/15/2020,4.6,7.3,1024.1
12/16/2020,3.9,6.4,1022.6
12/17/2020,5.9,7,1021.9
12/18/2020,6.6,6.5,1020.6
12/19/2020,6,9.1,1023.5
12/20/2020,5.9,5.3,1025.1
12/21/2020,4.9,8,1024.3
12/22/2020,4.4,4.6,1023.3
12/23/2020,4.8,6.5,1017.6
12/24/2020,5.3,8.3,1012.2
12/25/2020,1.2,28.3,1015.2
12/26/2020,1.6,6.9,1026.1
12/27/2020,2.8,6.3,1029.4
12/28/2020,3.2,5.2,1026.2
12/29/2020,3.5,4.4,1024.7
12/30/2020,4.5,4.5,1025.5
12/31/2020,5.6,5.4,1025.5
1/1/2021,4.9,4.8,1025.1
1/2/2021,5.3,4.9,1025.1
1/3/2021,5.4,4.7,1023.9
1/4/2021,4,13.5,1024.1
1/5/2021,2.8,8.3,1025.3
1/6/2021,2.9,6.8,1027.5
1/7/2021,3.1,5.6,1028.7
1/8/2021,2.7,5,1027.7
1/9/2021,2.5,5.3,1026.7
1/10/2021,2.9,4.8,1025.1
1/11/2021,4.4,5.4,1023.8
1/12/2021,4.4,4.2,1025.2
1/13/2021,5.3,4.8,1023.4
1/14/2021,5.9,5.7,1018.1
1/15/2021,7.6,6.7,1015.5
1/16/2021,9.7,6.6,1016.9
1/17/2021,7.5,6.7,1011.7
1/18/2021,9.2,17,1012.4
1/19/2021,9.4,12.7,1017
1/20/2021,8.9,7,1013.7
1/21/2021,0.8,24.7,1014.8
1/22/2021,-0.7,9.6,1029.3
1/23/2021,0.3,8.8,1029.6
1/24/2021,2.1,6.6,1024.7
1/25/2021,3.7,3.6,1022.5
1/26/2021,5.3,8.3,1021
1/27/2021,6.7,3.4,1021.3
1/28/2021,7.7,5.7,1018.8
1/29/2021,9.1,8.2,1016.5
1/30/2021,8.8,15.6,1012.4
1/31/2021,7.7,33.1,1014.8
2/1/2021,8.7,8.6,1021.4
2/2/2021,9.5,5.1,1024.3
2/3/2021,9.9,5.6,1022
2/4/2021,10.9,7.1,1021.1
2/5/2021,10.3,6.7,1019.3
2/6/2021,10.7,14,1017.7
2/7/2021,8.3,6.2,1016.7
2/8/2021,10.2,4.5,1021.3
2/9/2021,12.6,6.6,1023.5
2/10/2021,12.9,6.4,1020.8
2/11/2021,13.9,9.2,1017.4
2/12/2021,12.1,6.2,1017.2
2/13/2021,14.7,5.6,1016.7
2/14/2021,13.7,5.3,1020.2
2/15/2021,14.1,6.2,1018.8
2/16/2021,15.5,8.3,1016.1
2/17/2021,16.1,12,1011.2
2/18/2021,10.2,17.3,1009.5
2/19/2021,5.9,22.8,1017.8
2/20/2021,7.3,11.9,1019.5
2/21/2021,7.3,14,1021.2
2/22/2021,8.8,10.7,1020.2
2/23/2021,7.6,25.1,1017.3
2/24/2021,5.2,21.9,1016.5
2/25/2021,2.3,12.6,1024.1
2/26/2021,4.4,7.9,1022.5
2/27/2021,6.4,7.1,1020.5
2/28/2021,8.8,5.3,1016.9
3/1/2021,10.4,6.2,1016.9
3/2/2021,11.7,14.1,1019.6
3/3/2021,12.5,15.5,1017.9
3/4/2021,13.9,15.2,1018.1
3/5/2021,11.2,20.9,1013
3/6/2021,10.1,21.3,1016.5
3/7/2021,12.3,14,1015.1
3/8/2021,13.6,8.2,1013.9
3/9/2021,14.5,21.3,1012.3
3/10/2021,13.3,26.8,1014.8
3/11/2021,12,10.9,1013.1
3/12/2021,8.1,18.2,1003.3
3/13/2021,3.1,20.4,1012.8
3/14/2021,5.7,7.7,1019.6
3/15/2021,8.9,6,1019
3/16/2021,13.6,7.6,1017.4
3/17/2021,16.6,7.4,1015.9
3/18/2021,18.2,12,1011.2
3/19/2021,15.6,15.9,1012.3
3/20/2021,13.1,20.5,1013.9
3/21/2021,13.3,9.5,1012.8
3/22/2021,16.2,18.3,1012.9
3/23/2021,17.9,22,1013.9
3/24/2021,21.1,11.8,1010.4
3/25/2021,19.6,18.2,1008.3
3/26/2021,17.6,17.1,1013.6
3/27/2021,17.7,23.1,1011.8
3/28/2021,10.6,29.1,
3/29/2021,10.4,10.2,
3/30/2021,13.2,8.6,
3/31/2021,14.9,6.8,
4/1/2021,17.5,,
4/2/2021,20.3,12.3,
4/3/2021,16.1,23.1,
4/4/2021,13.2,,
4/5/2021,16.3,10.7,
4/6/2021,18.7,21.9,
4/7/2021,20.2,9.5,
4/8/2021,21.9,7.7,1017.9
4/9/2021,21.6,13.5,1014.9
4/10/2021,22.7,11,1015.2
4/11/2021,22.2,14.5,1016.6
4/12/2021,21.6,13.5,1018.1
4/13/2021,22.8,9.2,1017.8
4/14/2021,20.7,12,1016.4
4/15/2021,20.9,14.1,1015.4
4/16/2021,20.6,14.6,1016.3
4/17/2021,20.2,7.7,1020.2
4/18/2021,22.1,9,1020.2
4/19/2021,23.6,14.1,1016.9
4/20/2021,23.8,7.4,1018.8
4/21/2021,26.3,13.7,1019.2
4/22/2021,27.5,10.5,1019.9
4/23/2021,26.3,14.6,1018.7
4/24/2021,24.3,12.7,1017.9
4/25/2021,25.8,11.2,1018.4
4/26/2021,26.9,13.2,1016.4
4/27/2021,26.2,18.8,1015.5
4/28/2021,24.8,15.3,1016
4/29/2021,22.2,24.8,1015.1
4/30/2021,23.3,7.7,1016.1
5/1/2021,23.4,15.2,1013.7
5/2/2021,21.1,18,1012.5
5/3/2021,18.3,15.3,1014.4
5/4/2021,19.8,9.1,1012.3
5/5/2021,22.1,12.3,1013.5
5/6/2021,21.7,12.6,1015
5/7/2021,21.3,10.9,1015.4
5/8/2021,20.5,12.6,1016.5
5/9/2021,22.3,13.5,1015.1
5/10/2021,23.9,10.9,1014.4
5/11/2021,23.1,14.9,1017.7
5/12/2021,24.4,15,1017
5/13/2021,24.3,12.4,1016.3
5/14/2021,21.7,13.8,1016.7
5/15/2021,23.7,9.2,1015.9
5/16/2021,25,8.9,1015.3
5/17/2021,26.9,10.1,1015.2
5/18/2021,28.9,13.5,1013.6
5/19/2021,28.9,22.1,1013.3
5/20/2021,29.6,11.2,1016.1
5/21/2021,29.8,10.3,1018.3
5/22/2021,30.2,10.4,1015.8
5/23/2021,29,13.4,1011.8
5/24/2021,28.8,13.8,1013.8
5/25/2021,25.3,17.6,1014.9
5/26/2021,22.2,16.4,1011.5
5/27/2021,24.8,14.7,1014.8
5/28/2021,27.9,9.1,1015.5
5/29/2021,30.2,10.8,1014.8
5/30/2021,31.7,9.1,1014.7
5/31/2021,30.9,16.4,1013.6
6/1/2021,31.6,16.7,1011.9
6/2/2021,32,18.2,1013.3
6/3/2021,33.6,11,1013.3
6/4/2021,33.6,13.9,1013.1
6/5/2021,33.7,20.6,1012
6/6/2021,33,14.4,1011.3
6/7/2021,29.3,30,1011.4
6/8/2021,29.1,10.4,1012.8
6/9/2021,30.3,9.2,1010.9
6/10/2021,31.3,13.6,1008.1
6/11/2021,30.8,13.7,1009.2
6/12/2021,31.7,9.9,1009.7
6/13/2021,31.9,11.7,1009.6
6/14/2021,30.1,21.5,1009.9
6/15/2021,31.6,10.6,1011.2
6/16/2021,33.3,13.3,1011.4
6/17/2021,32,10,1012.4
6/18/2021,33.1,12,1012.5
6/19/2021,31.8,14.5,1016.1
6/20/2021,32.1,12.9,1016.8
6/21/2021,30.6,12.4,1016.1
